age,mx,qx,lx,dx,ex,total_ex
0,0.004733,0.004722,100000,472.2,78.71,78.71
1,0.000334,0.000334,99527.8,33.2,78.08,79.08
2,0.000192,0.000192,99494.6,19.1,77.11,79.11
3,0.000125,0.000124,99475.5,12.4,76.12,79.12
4,0.000106,0.000106,99463.1,10.5,75.13,79.13
5,0.00011,0.00011,99452.5,10.9,74.14,79.14
6,0.0001,0.0001,99441.6,9.9,73.15,79.15
7,0.000077,0.000077,99431.7,7.6,72.16,79.16
8,0.000105,0.000105,99424.1,10.4,71.16,79.16
9,0.000103,0.000103,99413.7,10.2,70.17,79.17
10,0.00009,0.00009,99403.5,9,69.18,79.18
11,0.000098,0.000098,99394.5,9.7,68.18,79.18
12,0.00011,0.00011,99384.8,10.9,67.19,79.19
13,0.000095,0.000095,99373.9,9.4,66.2,79.2
14,0.000128,0.000128,99364.5,12.8,65.2,79.2
15,0.000159,0.000159,99351.7,15.8,64.21,79.21
16,0.000224,0.000224,99335.9,22.2,63.22,79.22
17,0.00036,0.00036,99313.7,35.8,62.24,79.24
18,0.000485,0.000485,99277.9,48.2,61.26,79.26
19,0.000472,0.000472,99229.7,46.8,60.29,79.29
20,0.000519,0.000519,99182.9,51.5,59.32,79.32
21,0.000556,0.000556,99131.4,55.1,58.35,79.35
22,0.000559,0.000558,99076.3,55.3,57.38,79.38
23,0.00059,0.00059,99021,58.5,56.41,79.41
24,0.000549,0.000548,98962.6,54.3,55.44,79.44
25,0.000612,0.000612,98908.3,60.5,54.47,79.47
26,0.00061,0.00061,98847.8,60.3,53.51,79.51
27,0.000627,0.000627,98787.5,61.9,52.54,79.54
28,0.000697,0.000697,98725.6,68.8,51.57,79.57
29,0.000753,0.000753,98656.8,74.3,50.61,79.61
30,0.000812,0.000811,98582.5,80,49.64,79.64
31,0.000822,0.000821,98502.5,80.9,48.68,79.68
32,0.000841,0.00084,98421.6,82.7,47.72,79.72
33,0.000909,0.000909,98338.9,89.4,46.76,79.76
34,0.000996,0.000995,98249.5,97.8,45.81,79.81
35,0.001036,0.001035,98151.8,101.6,44.85,79.85
36,0.001119,0.001119,98050.1,109.7,43.9,79.9
37,0.00123,0.00123,97940.5,120.4,42.95,79.95
38,0.00133,0.001329,97820,130,42,80
39,0.001446,0.001445,97690.1,141.2,41.05,80.05
40,0.001582,0.00158,97548.9,154.2,40.11,80.11
41,0.001621,0.00162,97394.7,157.7,39.17,80.17
42,0.001763,0.001762,97237,171.3,38.24,80.24
43,0.00189,0.001888,97065.7,183.3,37.3,80.3
44,0.002162,0.002159,96882.4,209.2,36.37,80.37
45,0.00227,0.002267,96673.2,219.2,35.45,80.45
46,0.002352,0.002349,96454,226.6,34.53,80.53
47,0.00249,0.002487,96227.5,239.3,33.61,80.61
48,0.002738,0.002734,95988.2,262.4,32.69,80.69
49,0.002929,0.002925,95725.7,280,31.78,80.78
50,0.003192,0.003187,95445.8,304.2,30.87,80.87
51,0.003523,0.003517,95141.6,334.6,29.97,80.97
52,0.003957,0.003949,94807,374.4,29.07,81.07
53,0.004305,0.004296,94432.6,405.7,28.19,81.19
54,0.004664,0.004653,94026.9,437.5,27.31,81.31
55,0.005256,0.005243,93589.4,490.6,26.43,81.43
56,0.005881,0.005864,93098.8,545.9,25.57,81.57
57,0.006263,0.006243,92552.9,577.8,24.72,81.72
58,0.006906,0.006882,91975,633,23.87,81.87
59,0.00744,0.007412,91342.1,677,23.03,82.03
60,0.008277,0.008242,90665,747.3,22.2,82.2
61,0.009006,0.008966,89917.7,806.2,21.38,82.38
62,0.009855,0.009807,89111.5,873.9,20.57,82.57
63,0.010526,0.010471,88237.6,923.9,19.77,82.77
64,0.011536,0.01147,87313.7,1001.5,18.97,82.97
65,0.012517,0.012439,86312.3,1073.7,18.19,83.19
66,0.014293,0.014192,85238.6,1209.7,17.41,83.41
67,0.01557,0.01545,84028.9,1298.2,16.65,83.65
68,0.016853,0.016712,82730.7,1382.6,15.91,83.91
69,0.019148,0.018967,81348.1,1542.9,15.17,84.17
70,0.021534,0.021305,79805.2,1700.2,14.45,84.45
71,0.023802,0.023522,78105,1837.2,13.75,84.75
72,0.026026,0.025692,76267.8,1959.4,13.07,85.07
73,0.028254,0.027861,74308.4,2070.3,12.4,85.4
74,0.031639,0.031146,72238.1,2249.9,11.75,85.75
75,0.034623,0.034034,69988.2,2382,11.11,86.11
76,0.038708,0.037973,67606.2,2567.2,10.48,86.48
77,0.042913,0.042011,65039,2732.4,9.88,86.88
78,0.048124,0.046993,62306.6,2928,9.29,87.29
79,0.053017,0.051648,59378.6,3066.8,8.72,87.72
80,0.059806,0.058069,56311.8,3270,8.17,88.17
81,0.067887,0.065658,53041.8,3482.6,7.64,88.64
82,0.076333,0.073526,49559.2,3643.9,7.14,89.14
83,0.085211,0.081729,45915.3,3752.6,6.67,89.67
84,0.095894,0.091506,42162.7,3858.2,6.22,90.22
85,0.107365,0.101895,38304.5,3903,5.79,90.79
86,0.119785,0.113016,34401.5,3887.9,5.39,91.39
87,0.134865,0.126346,30513.6,3855.3,5.02,92.02
88,0.148954,0.138629,26658.3,3695.6,4.67,92.67
89,0.170388,0.157011,22962.7,3605.4,4.34,93.34
90,0.185101,0.169421,19357.3,3279.5,4.06,94.06
91,0.202623,0.183983,16077.8,2958,3.79,94.79
92,0.218963,0.197356,13119.7,2589.3,3.53,95.53
93,0.24057,0.21474,10530.5,2261.3,3.27,96.27
94,0.270352,0.238159,8269.2,1969.4,3.03,97.03
95,0.298091,0.259425,6299.8,1634.3,2.82,97.82
96,0.329584,0.282956,4665.5,1320.1,2.63,98.63
97,0.35867,0.304129,3345.3,1017.4,2.47,99.47
98,0.386669,0.324024,2327.9,754.3,2.33,100.33
99,0.413096,0.342378,1573.6,538.8,2.21,101.21
100,0.447141,0.36544,1034.8,378.2,2.09,102.09
