age,mx_male,qx_male,lx_male,dx_male,ex_male,mx_female,qx_female,lx_female,dx_female,ex_female
0,0.004285,0.004276,100000,427.6,79.18,0.003496,0.00349,100000,349,82.86
1,0.000271,0.000271,99572.4,27,78.52,0.000231,0.000231,99651,23.1,82.15
2,0.000154,0.000154,99545.4,15.3,77.54,0.00014,0.00014,99628,13.9,81.16
3,0.00012,0.00012,99530.1,12,76.56,0.000097,0.000097,99614.1,9.7,80.18
4,0.000102,0.000102,99518.1,10.2,75.57,0.000083,0.000083,99604.4,8.3,79.18
5,0.000092,0.000092,99507.9,9.2,74.57,0.000069,0.000069,99596.1,6.9,78.19
6,0.000078,0.000078,99498.7,7.7,73.58,0.000073,0.000073,99589.2,7.3,77.2
7,0.000083,0.000083,99491,8.3,72.59,0.000068,0.000068,99581.9,6.7,76.2
8,0.00007,0.00007,99482.7,7,71.59,0.000062,0.000062,99575.2,6.1,75.21
9,0.000078,0.000078,99475.8,7.7,70.6,0.00006,0.00006,99569,6,74.21
10,0.000078,0.000078,99468,7.7,69.6,0.000051,0.000051,99563.1,5.1,73.22
11,0.000091,0.000091,99460.3,9.1,68.61,0.000073,0.000073,99558,7.2,72.22
12,0.000095,0.000095,99451.2,9.4,67.61,0.000074,0.000074,99550.7,7.4,71.22
13,0.000106,0.000106,99441.8,10.5,66.62,0.000091,0.000091,99543.4,9,70.23
14,0.000118,0.000118,99431.3,11.7,65.63,0.000107,0.000107,99534.3,10.6,69.24
15,0.00017,0.00017,99419.6,16.9,64.63,0.000126,0.000126,99523.7,12.5,68.24
16,0.00022,0.00022,99402.7,21.8,63.65,0.000151,0.000151,99511.2,15,67.25
17,0.000302,0.000302,99380.9,30,62.66,0.000153,0.000153,99496.2,15.2,66.26
18,0.000399,0.000399,99350.9,39.6,61.68,0.000209,0.000209,99480.9,20.8,65.27
19,0.000439,0.000439,99311.3,43.6,60.7,0.0002,0.0002,99460.1,19.9,64.29
20,0.000467,0.000467,99267.7,46.3,59.73,0.000204,0.000204,99440.2,20.3,63.3
21,0.000496,0.000496,99221.4,49.2,58.76,0.000211,0.000211,99419.9,20.9,62.31
22,0.000494,0.000494,99172.2,49,57.79,0.000204,0.000204,99398.9,20.3,61.32
23,0.000529,0.000529,99123.3,52.4,56.81,0.000226,0.000226,99378.6,22.5,60.34
24,0.000535,0.000535,99070.9,53,55.84,0.000215,0.000215,99356.1,21.3,59.35
25,0.00062,0.00062,99017.9,61.4,54.87,0.000242,0.000242,99334.8,24,58.36
26,0.000573,0.000573,98956.5,56.7,53.91,0.000268,0.000268,99310.8,26.6,57.38
